policy,lambda,replica,seed,duration,warmup,mu0,mu1,mu2,X,E_R,E_TQ,E_N,U0,U1,U2,n_arrived,n_after_warmup,n_completed,drop_prob
random,0.6,1,1001,5000.0,500.0,1.5,1.0,0.5,0.5893333333333334,1.8177861217894504,0.5776614797071267,1.0741203243595372,0.13623689374834522,0.18837383383247036,0.40484883982602504,2904,2646,2646,0.0
random,0.6,2,1002,5000.0,500.0,1.5,1.0,0.5,0.5971111111111111,1.7359226152494078,0.5402169874492858,1.0367238939320915,0.137408224546375,0.19806416537107052,0.3785618901782725,2976,2688,2688,0.0
random,0.6,3,1003,5000.0,500.0,1.5,1.0,0.5,0.5904444444444444,1.8293306600717736,0.5709642745068828,1.0829835019810903,0.13286674365937973,0.18135552782653505,0.4299819211627676,2948,2653,2653,0.0
random,0.6,4,1004,5000.0,500.0,1.5,1.0,0.5,0.5908888888888889,1.7232609287266578,0.5117330847346241,1.0175067295714826,0.12927530379770022,0.19796591310791878,0.3880018372826123,2922,2658,2658,0.0
random,0.6,5,1005,5000.0,500.0,1.5,1.0,0.5,0.6088888888888889,1.7511633940122429,0.5698824940575382,1.0657138961697115,0.1338890777540989,0.18850943937199835,0.3965735415481608,3069,2738,2738,0.0
random,0.6,6,1006,5000.0,500.0,1.5,1.0,0.5,0.6044444444444445,1.839061002044935,0.5925942484095434,1.1110586172304313,0.1323516221411674,0.19636681558711552,0.4243714757703466,3023,2718,2718,0.0
random,0.6,7,1007,5000.0,500.0,1.5,1.0,0.5,0.6111111111111112,1.6531861353655402,0.47736878588170434,1.0101830363271422,0.13651706756805376,0.2088302892856451,0.3731984822092869,3044,2748,2748,0.0
random,0.6,8,1008,5000.0,500.0,1.5,1.0,0.5,0.5926666666666667,1.7510091678128115,0.5251120756003314,1.0378315201491493,0.13285322515107903,0.20390394424807548,0.389671109824585,3006,2673,2673,0.0
random,0.6,9,1009,5000.0,500.0,1.5,1.0,0.5,0.5771111111111111,1.7897860350447468,0.5816107985751832,1.032905407335824,0.1260113690034793,0.20145336137039896,0.36978662276200114,2903,2597,2597,0.0
random,0.6,10,1010,5000.0,500.0,1.5,1.0,0.5,0.5868888888888889,1.8752298177923794,0.6555649028623775,1.1010246186573989,0.12407137974033089,0.19915032225427165,0.3920576963057297,2959,2638,2638,0.0
random,1.2,1,1001,5000.0,500.0,1.5,1.0,0.5,1.1553333333333333,3.864231454609698,2.6323985010135535,4.453255823244137,0.2601307200884911,0.3686616480903419,0.7930196896872266,5768,5202,5202,0.0
random,1.2,2,1002,5000.0,500.0,1.5,1.0,0.5,1.1657777777777778,3.221338397181383,2.0263793739128744,3.7552356194842207,0.27196796945367907,0.373706503403127,0.747222867373639,5854,5248,5248,0.0
random,1.2,3,1003,5000.0,500.0,1.5,1.0,0.5,1.1953333333333334,5.527989816445797,4.291334288040156,6.605767128970087,0.25835460950151123,0.385610181283493,0.8337798923292223,5961,5377,5377,0.0
random,1.2,4,1004,5000.0,500.0,1.5,1.0,0.5,1.1846666666666668,3.6399525515177134,2.4302464107105286,4.312200083523994,0.26346539018233905,0.39942520063698056,0.7702775781496028,5886,5331,5331,0.0
random,1.2,5,1005,5000.0,500.0,1.5,1.0,0.5,1.2042222222222223,4.35184545395225,3.147496029810941,5.246058747201162,0.27490000240776685,0.3775450348295963,0.7986303701725661,6040,5412,5412,0.0
random,1.2,6,1006,5000.0,500.0,1.5,1.0,0.5,1.202888888888889,4.245574681223993,3.0171120448708835,4.976349264626678,0.26704299233457907,0.3842603705786783,0.8219291638377186,6044,5437,5437,0.0
random,1.2,7,1007,5000.0,500.0,1.5,1.0,0.5,1.2213333333333334,3.2455155308021664,2.0565097258440455,3.9638206586968794,0.27007124084369544,0.4132670474513179,0.768771109102957,6126,5495,5495,0.0
random,1.2,8,1008,5000.0,500.0,1.5,1.0,0.5,1.2164444444444444,4.322679583093741,3.071558805237945,5.246654259660695,0.2730825045537648,0.42362872527258605,0.8231712431945775,6066,5483,5483,0.0
